2026-08-19	CRSP	A. 强信号
2026-08-19	CRCL	A. 强信号
2026-08-19	IBRX	A. 强信号
2026-08-19	MRVL	B. 中等信号
2026-08-20	COIN	A. 强信号
2026-08-20	CRCL（2）	A. 强信号
2026-08-20	CRSP（2）	B. 中等信号
2026-08-20	MRVL（2）	C. 观察信号
2026-08-20	INOD	C. 观察信号
2026-08-20	SIVEF	C. 观察信号
2026-08-21	QSI	A. 强信号
2026-08-21	COIN（2）	A. 强信号
2026-08-21	CRCL（3）	A. 强信号
2026-08-21	ASTS	C. 观察信号
2026-08-21	INOD（2）	C. 观察信号
2026-08-21	SIVEF（2）	C. 观察信号
2026-08-24	COIN（3）	A. 强信号
2026-08-24	CRCL（4）	C. 观察信号
2026-08-24	ASTS（2）	C. 观察信号
2026-08-24	QCOM	C. 观察信号
2026-08-24	MU	C. 观察信号
2026-08-25	SMR	A. 强信号
2026-08-25	QSI（2）	A. 强信号
2026-08-25	OKLO	C. 观察信号
2026-08-25	CRCL（5）	C. 观察信号
2026-08-25	CCJ	C. 观察信号
2026-08-25	COIN（4）	C. 观察信号
2026-08-25	QCOM（2）	C. 观察信号
2026-08-25	MU（2）	C. 观察信号
2026-08-25	SIVEF（3）	C. 观察信号
2026-08-26	ERAS	A. 强信号
2026-08-26	OKLO（2）	C. 观察信号
2026-08-26	SMR（2）	C. 观察信号
2026-08-26	QCOM（3）	C. 观察信号
2026-08-26	IREN	C. 观察信号
2026-08-26	XE	C. 观察信号
2026-08-26	ORCL	C. 观察信号
2026-08-26	IONQ	C. 观察信号
2026-08-26	AMD	C. 观察信号
2026-08-26	MU（3）	C. 观察信号
2026-08-26	POET	C. 观察信号
2026-08-26	SIVEF（4）	C. 观察信号
2026-08-27	NVDA	A. 强信号	历史分位：60.71%
2026-08-27	ONDS	C. 观察信号	历史分位：10.71%
2026-08-27	IREN（2）	C. 观察信号	历史分位：6.55%
2026-08-27	OKLO（3）	C. 观察信号	历史分位：6.55%
2026-08-27	MU（4）	C. 观察信号	历史分位：13.10%
2026-08-27	IONQ（2）	C. 观察信号	历史分位：10.71%
2026-08-27	XE（2）	C. 观察信号	历史分位：27.94%
2026-08-27	POET（2）	C. 观察信号	历史分位：4.76%
2026-08-27	VELO	C. 观察信号	历史分位：0.60%
2026-08-27	SIVEF（5）	C. 观察信号	历史分位：1.12%
2026-08-28	NVDA（2）	C. 观察信号	历史分位：17.86%
2026-08-28	MSFT	C. 观察信号	历史分位：23.21%
2026-08-28	OPTX	C. 观察信号	历史分位：1.79%
2026-08-28	QCOM（4）	C. 观察信号	历史分位：13.10%
2026-08-28	QSI（3）	C. 观察信号	历史分位：2.38%
2026-08-28	MU（5）	C. 观察信号	历史分位：11.90%
2026-08-31	QCOM（5）	A. 强信号	历史分位：7.14%
2026-08-31	DELL	C. 观察信号	历史分位：21.43%
2026-08-31	NVDA（3）	C. 观察信号	历史分位：9.52%
2026-08-31	NNE	C. 观察信号	历史分位：0.60%
2026-08-31	ORCL（2）	C. 观察信号	历史分位：1.79%
2026-08-31	OPTX（2）	C. 观察信号	历史分位：0.60%
2026-08-31	QSI（4）	C. 观察信号	历史分位：2.38%
2026-09-01	MU（6）	C. 观察信号	历史分位：3.57%
2026-09-01	NOK	C. 观察信号	历史分位：32.74%
2026-09-01	NVDA（4）	C. 观察信号	历史分位：9.52%
2026-09-01	SNDK	C. 观察信号	历史分位：29.17%
2026-09-02	MU（7）	C. 观察信号	历史分位：3.57%
2026-09-02	NOK（2）	C. 观察信号	历史分位：32.74%
2026-09-02	NVDA（5）	C. 观察信号	历史分位：9.52%
2026-09-02	SNDK（2）	C. 观察信号	历史分位：29.17%
2026-09-03	DELL（2）	A. 强信号	历史分位：33.33%
2026-09-03	IBRX（2）	C. 观察信号	历史分位：0.60%
2026-09-03	SMR（3）	C. 观察信号	历史分位：1.79%
2026-09-03	QCOM（6）	C. 观察信号	历史分位：10.71%
2026-09-03	MU（8）	C. 观察信号	历史分位：2.98%
2026-09-03	NOK（3）	C. 观察信号	历史分位：30.95%
2026-09-03	SNDK（3）	C. 观察信号	历史分位：26.19%
2026-09-03	LITE	C. 观察信号	历史分位：3.57%
2026-09-04	DELL（3）	A. 强信号	历史分位：42.86%
2026-09-04	ORCL（3）	C. 观察信号	历史分位：12.50%
2026-09-04	ASTS（3）	C. 观察信号	历史分位：22.02%
2026-09-04	NOK（4）	C. 观察信号	历史分位：21.43%
2026-09-04	CRSP（3）	C. 观察信号	历史分位：20.83%
2026-09-04	CCJ（2）	C. 观察信号	历史分位：13.10%
2026-09-04	QSI（5）	C. 观察信号	历史分位：2.38%
2026-09-07	DELL（4）	A. 强信号	历史分位：42.86%
2026-09-07	ORCL（4）	C. 观察信号	历史分位：12.50%
2026-09-07	ASTS（4）	C. 观察信号	历史分位：22.02%
2026-09-07	NOK（5）	C. 观察信号	历史分位：21.43%
2026-09-07	CRSP（4）	C. 观察信号	历史分位：20.83%
2026-09-07	CCJ（3）	C. 观察信号	历史分位：13.10%
2026-09-07	QSI（6）	C. 观察信号	历史分位：2.38%
2026-09-08	QCOM（7）	A. 强信号	历史分位：17.86%
2026-09-08	ORCL（5）	A. 强信号	历史分位：19.05%
2026-09-08	NOK（6）	A. 强信号	历史分位：16.67%
2026-09-08	SMR（4）	A. 强信号	历史分位：12.50%
2026-09-08	LITE（2）	A. 强信号	历史分位：5.36%
2026-09-08	AMD（2）	A. 强信号	历史分位：19.05%
2026-09-08	GLW	A. 强信号	历史分位：21.43%
2026-09-08	INTC	A. 强信号	历史分位：39.29%
2026-09-08	POET（3）	B. 中等信号	历史分位：17.86%
2026-09-08	XE（3）	B. 中等信号	历史分位：13.33%
2026-09-08	OKLO（4）	B. 中等信号	历史分位：8.93%
2026-09-08	NNE（2）	B. 中等信号	历史分位：5.36%
2026-09-08	ASTS（5）	B. 中等信号	历史分位：22.02%
2026-09-08	LRCX	B. 中等信号	历史分位：20.83%
2026-09-08	SPCX	C. 观察信号	历史分位：N/A
2026-09-08	MSFT（2）	C. 观察信号	历史分位：23.21%
2026-09-08	CCJ（4）	C. 观察信号	历史分位：12.50%
2026-09-08	DELL（5）	C. 观察信号	历史分位：48.21%
2026-09-08	QSI（7）	C. 观察信号	历史分位：2.98%
2026-09-10	INSP	A. 强信号	历史分位：23.81%
2026-09-10	QCOM（8）	A. 强信号	历史分位：22.62%
2026-09-10	AMD（3）	C. 观察信号	历史分位：28.57%
2026-09-10	POET（4）	C. 观察信号	历史分位：16.67%
2026-09-10	MU（9）	C. 观察信号	历史分位：0.60%
2026-09-10	OKLO（5）	C. 观察信号	历史分位：4.17%
2026-09-10	ASTS（6）	C. 观察信号	历史分位：21.43%
2026-09-10	LRCX（2）	C. 观察信号	历史分位：20.83%
2026-09-10	SMR（5）	C. 观察信号	历史分位：19.05%
2026-09-10	CCJ（5）	C. 观察信号	历史分位：12.50%
2026-09-10	MSFT（3）	C. 观察信号	历史分位：20.83%
2026-09-11	INSP（2）	A. 强信号	历史分位：47.02%
2026-09-11	DELL（6）	A. 强信号	历史分位：73.81%
2026-09-11	NOK（7）	C. 观察信号	历史分位：17.26%
2026-09-11	QCOM（9）	C. 观察信号	历史分位：34.52%
2026-09-11	POET（5）	C. 观察信号	历史分位：10.12%
2026-09-11	AVGO	C. 观察信号	历史分位：27.98%
2026-09-11	CORZ	C. 观察信号	历史分位：26.19%
2026-09-11	MSFT（4）	C. 观察信号	历史分位：19.64%
2026-09-11	NVDA（6）	C. 观察信号	历史分位：20.83%
2026-09-11	ALAB	C. 观察信号	历史分位：8.93%
2026-09-14	INSP（3）	A. 强信号	历史分位：55.95%
2026-09-14	DELL（7）	A. 强信号	历史分位：73.81%
2026-09-14	NOK（8）	C. 观察信号	历史分位：17.26%
2026-09-14	QCOM（10）	C. 观察信号	历史分位：34.52%
2026-09-14	POET（6）	C. 观察信号	历史分位：10.12%
2026-09-14	AVGO（2）	C. 观察信号	历史分位：27.98%
2026-09-14	CORZ（2）	C. 观察信号	历史分位：26.19%
2026-09-14	MSFT（5）	C. 观察信号	历史分位：19.64%
2026-09-14	NVDA（7）	C. 观察信号	历史分位：20.83%
2026-09-14	ALAB（2）	C. 观察信号	历史分位：8.93%
2026-09-14	GOOG	A. 强信号	历史分位：5.95%
2026-09-14	ORCL（6）	C. 观察信号	历史分位：24.40%
2026-09-14	NBIS	C. 观察信号	历史分位：9.52%
2026-09-14	ASTS（7）	C. 观察信号	历史分位：4.17%
2026-09-15	INSP（4）	A. 强信号	历史分位：55.95%
2026-09-15	GOOG（2）	A. 强信号	历史分位：5.95%
2026-09-15	COIN（5）	A. 强信号	历史分位：50.60%
2026-09-15	ORCL（7）	C. 观察信号	历史分位：24.40%
2026-09-15	NBIS（2）	C. 观察信号	历史分位：9.52%
2026-09-15	ASTS（8）	C. 观察信号	历史分位：4.17%
2026-09-16	INSP（5）	A. 强信号	历史分位：63.69%
2026-09-16	COHR	B. 中等信号	历史分位：4.76%
2026-09-16	MANE	C. 观察信号	历史分位：16.30%
2026-09-16	CRCL（6）	C. 观察信号	历史分位：27.98%
2026-09-16	MSFT（6）	C. 观察信号	历史分位：10.12%
2026-09-16	VICR	C. 观察信号	历史分位：5.95%
2026-09-16	SNDK（4）	C. 观察信号	历史分位：1.79%
2026-09-16	CBRS	C. 观察信号	历史分位：3.03%
